车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
奔驰M级,Benz,外国,2014款,ML320 4MATIC,3.0T,自动,(进口),2015/1/1,0.7,63,87.7,0.72,小于10万,中高级轿车
宝马X5,BMW,外国,2014款,X5 xDrive35i,3.0T,自动,豪华型(进口),2014/7/1,1,80,106.9,0.75,小于10万,中高级轿车
宝马X5,BMW,外国,2014款,X5 xDrive35i,3.0T,自动,豪华型(进口),2014/7/1,1,80,106.9,0.75,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,3.0T,自动,SC两驱全景商务版(进口),2015/5/1,1.2,65,114.8,0.57,小于10万,中高级轿车
奔驰M级,Benz,外国,2014款,ML320 4MATIC,3.0T,自动,(进口),2014/10/1,1.3,63,87.7,0.72,小于10万,中高级轿车
捷豹F-Type,Jaguar,外国,2015款,F-Type S Coupe,3.0T,自动,(进口),2014/8/1,1.4,69,106.2,0.65,小于10万,中高级轿车
捷豹F-Type,Jaguar,外国,2015款,F-Type S Coupe,3.0T,自动,(进口),2014/8/1,1.4,69,106.2,0.65,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2015款,GLK3004MATIC,3.0T,自动,时尚型 极致版,2015/5/1,1.6,38,52.6,0.72,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2015款,GLK300 4MATIC,3.0T,自动,时尚型极致版,2015/5/1,1.6,38,52.6,0.72,小于10万,中高级轿车
奔驰S级,Benz,外国,2014款,S320L,3.0T,自动,商务型(进口),2015/6/1,1.6,80,101.8,0.79,小于10万,中高级轿车
奔驰S级,Benz,外国,2014款,S320L,3.0T,自动,商务型(进口),2015/6/1,1.6,80,101.8,0.79,小于10万,中高级轿车
捷豹XF,Jaguar,外国,2013款,XF,3.0T,自动,V6 SC 风华版(进口),2013/11/1,2.1,37,69.3,0.53,小于10万,中高级轿车
奔驰S级,Benz,外国,2014款,S320L,3.0T,自动,商务型(进口),2014/10/1,2.3,75,101.8,0.74,小于10万,中高级轿车
路虎揽胜,Land Rover,外国,2015款,,3.0T,自动,V6 SC Vogue SE 创世加长版(进口),2015/7/1,2.3,155,191.9,0.81,小于10万,中高级轿车
路虎揽胜,Land Rover,外国,2015款,,3.0T,自动,V6 SC Vogue SE 创世加长版(进口),2015/7/1,2.3,155,191.9,0.81,小于10万,中高级轿车
奔驰S级,Benz,外国,2015款,S400L 4MATIC,3.0T,自动,(进口),2015/1/1,2.4,108,145.2,0.74,小于10万,中高级轿车
奔驰S级,Benz,外国,2015款,S400L 4MATIC,3.0T,自动,(进口),2015/1/1,2.4,108,145.2,0.74,小于10万,中高级轿车
宝马X6,BMW,外国,2014款,X6 xDrive35i,3.0T,自动,运动型(进口),2014/6/1,2.7,75,106.8,0.7,小于10万,中高级轿车
奔驰M级,Benz,外国,2015款,ML400 4MATIC,3.0T,自动,动感型（进口）,2015/5/1,2.8,78.5,99.4,0.79,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,535Li,3.0T,自动,领先型,2013/6/1,3.3,40,69.4,0.58,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,535Li,3.0T,自动,领先型,2013/6/1,3.3,40,69.4,0.58,小于10万,中高级轿车
宝马X5,BMW,外国,2011款,X5 xDrive35i,3.0T,自动,豪华型(进口),2012/1/1,3.7,51,109.1,0.47,小于10万,中高级轿车
宝马6系,BMW,外国,2013款,640i 四门轿跑车,3.0T,自动,(改款)(进口),2014/7/1,3.7,63.5,132.2,0.48,小于10万,中高级轿车
宝马6系,BMW,外国,2013款,640i四门轿跑车,3.0T,自动,(改款)(进口),2014/7/1,3.7,63.5,132.2,0.48,小于10万,中高级轿车
沃尔沃XC60,Volvo,外国,2015款,,3.0T,自动,T6智逸版(进口),2014/12/1,3.7,38.2,59.4,0.64,小于10万,中高级轿车
路虎揽胜运动版,Land Rover,外国,2014款,,3.0T,自动,V6 SC 锋尚创世版(进口),2014/11/1,4.1,95,123.5,0.77,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2013款,XJL,3.0T,自动,SC两驱全景商务版(进口,2013/5/1,4.2,56.8,119.2,0.48,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,3.0T,自动,SC 四驱尊享商务版(进口),2014/8/1,4.2,65.5,133.3,0.49,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,3.0T,自动,SC 四驱尊享商务版(进口),2014/8/1,4.2,65.5,133.3,0.49,小于10万,中高级轿车
宝马5系,BMW,外国,2014款,GT 535i,3.0T,自动,设计套装(进口),2014/3/1,4.3,58.8,108.4,0.54,小于10万,中高级轿车
宝马5系,BMW,外国,2014款,GT535i,3.0T,自动,设计套装(进口),2014/3/1,4.3,58.8,108.4,0.54,小于10万,中高级轿车
宝马X5,BMW,外国,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013/9/1,4.7,50,97.8,0.51,小于10万,中高级轿车
宝马X5,BMW,外国,2013款,X5xDrive35i,3.0T,自动,领先型(进口),2013/9/1,4.7,50,97.8,0.51,小于10万,中高级轿车
保时捷卡宴,Porsche,外国,2011款,卡宴,3.0T,自动,,2013/3/1,4.8,80,100.1,0.8,小于10万,中高级轿车
路虎揽胜,Land Rover,外国,2014款,,3.0T,自动,V6 SC Vogue(进口),2014/11/1,5.1,118,169.1,0.7,小于10万,中高级轿车
奔驰S级,Benz,外国,2014款,S320L,3.0T,自动,豪华型(进口),2015/1/1,5.2,85,120.3,0.71,小于10万,中高级轿车
奔驰S级,Benz,外国,2014款,S320L,3.0T,自动,豪华型(进口),2015/1/1,5.2,85,120.3,0.71,小于10万,中高级轿车
宝马5系,BMW,外国,2011款,GT 535i,3.0T,自动,典雅型(进口),2013/1/1,5.5,48,87.8,0.55,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,3.0T,自动,SC 四驱全景商务版(进口）,2014/1/1,5.5,65,118.1,0.55,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2014款,XJL,3.0T,自动,SC四驱全景商务版(进口),2014/1/1,5.5,65,118.1,0.55,小于10万,中高级轿车
宝马X5,BMW,外国,2011款,X5 xDrive35i,3.0T,自动,领先型(进口),2012/8/1,5.9,44.4,97.3,0.46,小于10万,中高级轿车
宝马X5,BMW,外国,2011款,X5 xDrive35i,3.0T,自动,领先型(进口),2012/8/1,5.9,44.4,97.3,0.46,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,535Li,3.0T,自动,领先型,2012/4/1,5.9,34,69.4,0.49,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,535Li,3.0T,自动,领先型,2012/4/1,6.6,34,69.4,0.49,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,535Li,3.0T,自动,领先型,2012/4/1,6.6,34,69.4,0.49,小于10万,中高级轿车
宝马X6,BMW,外国,2012款,X6 xDrive35i,3.0T,自动,(进口),2012/7/1,7.1,53,115.4,0.46,小于10万,中高级轿车
宝马X6,BMW,外国,2012款,X6 xDrive35i,3.0T,自动,(进口),2012/7/1,7.1,53,115.4,0.46,小于10万,中高级轿车
宝马5系,BMW,外国,2011款,535Li,3.0T,自动,行政型,2010/9/1,7.3,33,85.9,0.38,小于10万,中高级轿车
宝马X5,BMW,外国,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013/10/1,8.1,49,97.8,0.5,小于10万,中高级轿车
宝马X5,BMW,外国,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013/10/1,8.1,49,97.8,0.5,小于10万,中高级轿车
宝马7系,BMW,外国,2009款,740Li,3.0T,自动,豪华型(进口),2010/2/1,8.5,42.5,149.6,0.28,小于10万,中高级轿车
宝马X5,BMW,外国,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013/9/1,8.8,55.6,97.8,0.57,小于10万,中高级轿车
宝马3系,BMW,外国,2009款,335i,3.0T,自动,,2010/4/1,12.1,25,66.5,0.38,大于或等于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2014款,,3.0SIDI,自动,两驱精英型(进口),2014/4/1,4.4,33,51,0.65,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2014款,,3.0SIDI,自动,四驱豪华型(进口),2014/7/1,4.8,33,54.1,0.61,小于10万,中高级轿车
本田雅阁,Honda,外国,2016款,第九代雅阁,2L,无级,舒适版,2016/7/1,0.6,17,19.5,0.87,小于10万,中级轿车
本田雅阁,Honda,外国,2016款,第九代雅阁,2L,无级,舒适版,2016/7/1,0.6,17,19.5,0.87,小于10万,中级轿车
本田雅阁,Honda,外国,2016款,第九代雅阁,2L,无级,舒适版,2016/7/1,0.6,17,19.5,0.87,小于10万,中级轿车
福田风景,Ford,外国,2014款,快运,2L,手动,经典型长轴高顶4Q20M,2015/11/1,0.7,6.3,7.3,0.86,小于10万,中级轿车
福田风景,Ford,外国,2014款,快运,2L,手动,经典型长轴高顶4Q20M,2015/11/1,0.7,6.3,7.3,0.86,小于10万,中级轿车
雪铁龙C5,Citroen,外国,2013款,C5,2L,自动,尊享型,2014/2/1,0.9,14,20.6,0.68,小于10万,中级轿车
雪铁龙C5,Citroen,外国,2013款,C5,2L,自动,尊享型,2014/2/1,0.9,14,20.6,0.68,小于10万,中级轿车
金杯海狮,金杯,中国,2014款,,2L,手动,动力王 标准顶舒适型V20,2015/11/1,0.9,6.3,7.8,0.81,小于10万,中级轿车
马自达6,Mazda,外国,2013款,6,2L,自动,时尚版,2015/2/1,1,10,16,0.63,小于10万,中级轿车
金杯阁瑞斯,金杯,中国,2014款,,2L,手动,标准顶商务型长轴11座,2014/7/1,1.4,7,18.4,0.38,小于10万,中级轿车
金杯阁瑞斯,金杯,中国,2014款,,2L,手动,标准顶商务型长轴11座,2014/7/1,1.4,7,18.4,0.38,小于10万,中级轿车
现代ix35,Hyundai,外国,2012款,,2L,自动,GLS四驱尊贵型,2013/4/1,1.8,14,23.4,0.6,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2013款,凯美瑞经典,2L,自动,200E精英版,2013/9/1,1.9,12.7,19.8,0.64,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2012款,凯美瑞,2L,自动,S耀动版,2014/5/1,1.9,14.5,19.5,0.74,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2012款,凯美瑞,2L,自动,S耀动版,2014/5/1,1.9,14.5,19.5,0.74,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,豪华版,2012/8/1,2,7.5,16.9,0.44,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,豪华版,2012/8/1,2,7.5,16.9,0.44,小于10万,中级轿车
雪铁龙世嘉,Citroen,外国,2013款,世嘉-三厢,2L,手动,品悦型,2013/9/1,2,7.3,12.7,0.57,小于10万,中级轿车
江淮瑞风穿梭,江淮,中国,2015款,瑞风穿梭,2L,手动,长轴舒适版,2015/1/1,2.1,7.8,11.7,0.67,小于10万,中级轿车
江淮瑞风穿梭,江淮,中国,2015款,瑞风穿梭,2L,手动,长轴舒适版,2015/1/1,2.1,7.8,11.7,0.67,小于10万,中级轿车
马自达6,Mazda,外国,2014款,6,2L,自动,经典型,2014/10/1,2.2,11,15.2,0.72,小于10万,中级轿车
日产奇骏,Nissan,外国,2014款,新势代奇骏,2L,无级,XL 两驱舒适版,2015/7/1,2.2,17.8,21.4,0.83,小于10万,中级轿车
日产奇骏,Nissan,外国,2014款,新势代奇骏,2L,无级,XL两驱舒适版,2015/7/1,2.2,17.8,21.4,0.83,小于10万,中级轿车
起亚K5,Kia,外国,2016款,,2L,自动,PREMIUM,2015/11/1,2.2,19,20.9,0.91,小于10万,中级轿车
雪佛兰迈锐宝,Chevrolet,外国,2014款,,2L,自动,豪华版,2015/7/1,2.4,13.3,20.3,0.66,小于10万,中级轿车
雪佛兰迈锐宝,Chevrolet,外国,2014款,,2L,自动,SE豪华版,2015/7/1,2.4,13.3,20.3,0.66,小于10万,中级轿车
标致3008,Peugeot,外国,2015款,,2L,手动,经典版,2015/3/1,2.4,12,17.3,0.69,小于10万,中级轿车
标致3008,Peugeot,外国,2015款,,2L,手动,经典版,2015/3/1,2.4,12,17.3,0.69,小于10万,中级轿车
三菱劲炫,Mitsubishi,外国,2011款,,2L,无级,四驱劲尚版(进口),2010/12/1,2.5,9.8,23.7,0.41,小于10万,中级轿车
三菱劲炫2011款,Mitsubishi,外国,2011款,,2L,无级,四驱劲尚版(进口),2010/12/1,2.5,9.8,23.7,0.41,小于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X 雷 两驱,2010/12/1,2.6,9.88,20.5,0.48,小于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X雷 两驱,2010/12/1,2.6,9.88,20.5,0.48,小于10万,中级轿车
标致3008,Peugeot,外国,2013款,,2L,自动,潮流版,2013/11/1,2.6,12.9,20.3,0.64,小于10万,中级轿车
标致3008,Peugeot,外国,2013款,,2L,自动,潮流版,2013/11/1,2.6,12.9,20.3,0.64,小于10万,中级轿车
别克君威,Buick,外国,2009款,,2L,自动,精英版,2009/12/1,2.8,9.5,21.7,0.44,小于10万,中级轿车
现代途胜,Hyundai,外国,2009款,,2L,手动,两驱时尚型,2009/7/1,2.8,9.6,18.4,0.52,小于10万,中级轿车
标致3008,Peugeot,外国,2013款,,2L,自动,潮流版,2014/12/1,2.8,13.5,20.3,0.67,小于10万,中级轿车
标致3008,Peugeot,外国,2013款,,2L,自动,潮流版,2014/12/1,2.8,13.5,20.3,0.67,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/6/1,2.9,10,24.7,0.4,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/6/1,2.9,10,24.7,0.4,小于10万,中级轿车
比亚迪S6,BYD,外国,2013款,,2L,手动,精英型,2013/4/1,2.9,6,10.5,0.57,小于10万,中级轿车
比亚迪S6,BYD,外国,2013款,,2L,手动,精英型,2013/4/1,2.9,6,10.5,0.57,小于10万,中级轿车
起亚狮跑,Kia,外国,2009款,,2L,自动,GLS两驱,2010/4/1,3,8.5,20,0.43,小于10万,中级轿车
起亚狮跑,Kia,外国,2009款,,2L,自动,GLS两驱,2010/4/1,3,8.5,20,0.43,小于10万,中级轿车
马自达6,Mazda,外国,2014款,6,2L,自动,经典型,2014/11/1,3,10.5,15.2,0.69,小于10万,中级轿车
本田CR-V,Honda,外国,2010款,,2L,手动,LXi都市版,2011/9/1,3.2,9.5,20.6,0.46,小于10万,中级轿车
奔驰B级,Benz,外国,2009款,B200,2L,无级,动感型(进口),2010/9/1,3.2,16,31.3,0.51,小于10万,中级轿车
标致408,Peugeot,外国,2013款,,2L,自动,舒适版,2013/11/1,3.2,8.5,15.6,0.54,小于10万,中级轿车
标致408,Peugeot,外国,2013款,,2L,自动,舒适版,2013/11/1,3.2,8.5,15.6,0.54,小于10万,中级轿车
福田风景,Ford,外国,2014款,快捷,2L,手动,舒适型短轴低顶486EQV4B,2014/12/1,3.2,5.5,8.3,0.66,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/11/1,3.3,10.5,24.7,0.43,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/11/1,3.3,10.5,24.7,0.43,小于10万,中级轿车
现代ix35,Hyundai,外国,2013款,,2L,自动,GLS 两驱智能型,2013/9/1,3.3,13.5,21.4,0.63,小于10万,中级轿车
现代ix35,Hyundai,外国,2013款,,2L,自动,GLS 两驱智能型,2013/9/1,3.3,13.5,21.4,0.63,小于10万,中级轿车
标致508,Peugeot,外国,2013款,,2L,自动,两周款纪念智享版,2014/8/1,3.4,13.9,22.2,0.63,小于10万,中级轿车
三菱君阁,Mitsubishi,外国,2010款,,2L,手动,7座豪华版,2010/8/1,3.5,6.2,16.3,0.38,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/5/1,3.6,9.7,24.7,0.39,小于10万,中级轿车
大众甲壳虫,Volkswagen,外国,2010款,甲壳虫,2L,自动,BlackOrange舒适版(进口),2010/5/1,3.6,9.7,24.7,0.39,小于10万,中级轿车
现代途胜,Hyundai,外国,2013款,,2L,手动,GL两驱时尚型,2013/3/1,3.6,8.8,18.4,0.48,小于10万,中级轿车
现代途胜,Hyundai,外国,2013款,,2L,手动,GL两驱时尚型,2013/3/1,3.6,8.8,18.4,0.48,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2L,无级,XL舒适版,2015/9/1,3.6,15,20.2,0.74,小于10万,中级轿车
日产天籁,Nissan,外国,2013款,天籁,2L,无级,XL舒适版,2015/9/1,3.6,15,20.2,0.74,小于10万,中级轿车
金杯阁瑞斯,金杯,中国,2013款,,2L,手动,全运纪念版标准型长轴11座,2014/1/1,3.6,7.8,10.1,0.77,小于10万,中级轿车
起亚K5,Kia,外国,2012款,,2L,自动,DLX-2,2012/8/1,3.7,11.1,21.7,0.51,小于10万,中级轿车
起亚K5,Kia,外国,2012款,,2L,自动,DLX-2,2012/8/1,3.7,11.1,21.7,0.51,小于10万,中级轿车
本田CR-V,Honda,外国,2015款,,2L,无级,EXi,2015/9/1,3.8,17.7,21.7,0.82,小于10万,中级轿车
雪佛兰迈锐宝,Chevrolet,外国,2013款,,2L,自动,SE 豪华版,2013/7/1,3.9,12.3,19.7,0.62,小于10万,中级轿车
雪佛兰迈锐宝,Chevrolet,外国,2013款,,2L,自动,SE 豪华版,2013/7/1,3.9,12.3,19.7,0.62,小于10万,中级轿车
马自达6,Mazda,外国,2014款,6,2L,自动,经典型,2014/3/1,3.9,11,15.2,0.72,小于10万,中级轿车
宝马1系,BMW,外国,2008款,120i,2L,自动,,2011/6/1,4,12.8,31.3,0.41,小于10万,中级轿车
宝马1系,BMW,外国,2008款,120i,2L,自动,(进口),2011/6/1,4,12.8,31.3,0.41,小于10万,中级轿车
别克君威,Buick,外国,2014款,,2L,自动,领先时尚型,2014/5/1,4.1,12,19.4,0.62,小于10万,中级轿车
现代ix35,Hyundai,外国,2012款,,2L,自动,GLS两驱精英型,2012/11/1,4.1,13.5,21.3,0.63,小于10万,中级轿车
奔腾X80,奔腾,中国,2013款,2,2L,自动,舒适型,2014/7/1,4.2,10.1,14.5,0.7,小于10万,中级轿车
东风风度MX6,东风风行,中国,2015款,,2L,无级,两驱卓越版,2015/5/1,4.2,11,15.2,0.72,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,舒适版,2012/6/1,4.3,7.5,15.4,0.49,小于10万,中级轿车
别克君威,Buick,外国,2012款,,2L,自动,豪华版,2012/9/1,4.4,10.8,22.1,0.49,小于10万,中级轿车
别克君威,Buick,外国,2012款,,2L,自动,豪华版,2012/9/1,4.4,10.8,22.1,0.49,小于10万,中级轿车
起亚狮跑,Kia,外国,2011款,,2L,自动,GLS 两驱,2011/10/1,4.5,8.9,20,0.45,小于10万,中级轿车
起亚狮跑,Kia,外国,2011款,,2L,自动,GLS 两驱,2011/10/1,4.5,8.9,20,0.45,小于10万,中级轿车
现代ix35,Hyundai,外国,2010款,,2L,自动,GLS 两驱精英型,2011/9/1,4.5,10.9,21.3,0.51,小于10万,中级轿车
现代ix35,Hyundai,外国,2010款,,2L,自动,GLS 两驱精英型,2011/9/1,4.5,10.9,21.3,0.51,小于10万,中级轿车
沃尔沃S40,Volvo,外国,2011款,,2L,双离合,智雅版,2011/12/1,4.6,11.8,31.3,0.38,小于10万,中级轿车
沃尔沃S40,Volvo,外国,2011款,,2L,双离合,智雅版,2011/12/1,4.6,11.8,31.3,0.38,小于10万,中级轿车
丰田RAV4,Toyota,外国,2011款,RAV4,2L,自动,经典版,2012/10/1,4.7,15,21.5,0.7,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,舒适版,2012/5/1,4.8,7.5,15.4,0.49,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,舒适版,2012/5/1,4.8,7.5,15.4,0.49,小于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,GLX 豪华型,2012/8/1,4.8,11,20.6,0.53,小于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,GLX豪华型,2012/8/1,4.8,11,20.6,0.53,小于10万,中级轿车
现代ix35,Hyundai,外国,2012款,,2L,自动,GLS两驱精英型,2012/5/1,4.8,12,21.3,0.56,小于10万,中级轿车
丰田凯美瑞,Toyota,外国,2013款,凯美瑞经典,2L,自动,200GVP 豪华版,2015/7/1,4.8,14.7,21,0.7,小于10万,中级轿车
起亚智跑,Kia,外国,2015款,,2L,自动,两驱DLX,2015/4/1,5,14.8,19.3,0.77,小于10万,中级轿车
现代索纳塔,Hyundai,外国,2009款,领翔,2L,自动,GLS豪华型,2012/1/1,5.1,8.8,18.9,0.47,小于10万,中级轿车
马自达睿翼,Mazda,外国,2012款,睿翼,2L,自动,豪华版,2012/8/1,5.1,10.5,21.1,0.5,小于10万,中级轿车
马自达睿翼,Mazda,外国,2012款,睿翼,2L,自动,豪华版,2012/8/1,5.1,10.5,21.1,0.5,小于10万,中级轿车
现代ix35,Hyundai,外国,2013款,,2L,自动,GLS两驱智能型,2014/1/1,5.1,13.5,21.4,0.63,小于10万,中级轿车
标致508,Peugeot,外国,2013款,,2L,自动,两周款纪念智享版,2014/1/1,5.1,16.2,22.2,0.73,小于10万,中级轿车
本田CR-V,Honda,外国,2012款,CR-V,2L,自动,LXi都市版,2012/10/1,5.1,15.5,21,0.74,小于10万,中级轿车
宝马X1,BMW,外国,2013款,X1 sDrive18i,2L,自动,豪华型(进口),2012/12/1,5.2,17.5,39.8,0.44,小于10万,中级轿车
宝马X1,BMW,外国,2013款,X1 sDrive18i,2L,自动,豪华型(进口),2012/12/1,5.2,17.5,39.8,0.44,小于10万,中级轿车
福特福克斯,Ford,外国,2012款,福克斯-两厢,2L,手动,豪华运动型,2012/7/1,5.2,8.3,16.5,0.5,小于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,GLS 领先型,2012/11/1,5.2,10.8,19.5,0.55,小于10万,中级轿车
现代索纳塔,Hyundai,外国,2011款,第八代索纳塔,2L,自动,GLS 领先型,2012/11/1,5.2,10.8,19.5,0.55,小于10万,中级轿车
奇瑞瑞虎5,奇瑞,中国,2014款,,2L,手动,家尊版,2014/7/1,5.2,8.5,12,0.71,小于10万,中级轿车
比亚迪S6,BYD,外国,2013款,,2L,手动,尊享型,2013/8/1,5.4,6,12.4,0.48,小于10万,中级轿车
比亚迪S6,BYD,外国,2013款,,2L,手动,尊享型,2013/8/1,5.4,6,12.4,0.48,小于10万,中级轿车
起亚智跑,Kia,外国,2011款,,2L,手动,GLS 两驱,2011/9/1,5.4,10.3,19.8,0.52,小于10万,中级轿车
起亚智跑,Kia,外国,2011款,,2L,手动,GLS 两驱,2011/9/1,5.4,10.3,19.8,0.52,小于10万,中级轿车
沃尔沃C30,Volvo,外国,2010款,,2L,双离合,智雅版(进口),2010/2/1,5.5,13,35.6,0.37,小于10万,中级轿车
马自达6,Mazda,外国,2008款,6,2L,自动,时尚版,2009/8/1,5.5,7.8,19.5,0.4,小于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X 雷 两驱,2010/10/1,5.5,9.5,20.5,0.46,小于10万,中级轿车
日产逍客,Nissan,外国,2010款,逍客,2L,无级,20X 雷 两驱,2010/10/1,5.5,9.5,20.5,0.46,小于10万,中级轿车
现代途胜,Hyundai,外国,2013款,,2L,手动,GL两驱时尚型,2013/8/1,5.5,9.2,18.4,0.5,小于10万,中级轿车
现代途胜,Hyundai,外国,2013款,,2L,手动,GL两驱时尚型,2013/8/1,5.5,9.2,18.4,0.5,小于10万,中级轿车
标致408,Peugeot,外国,2011款,,2L,自动,舒适版,2012/7/1,5.6,7.8,15.4,0.51,小于10万,中级轿车
宝马X1,BMW,外国,2012款,X1 sDrive18i,2L,自动,时尚型,2012/4/1,5.6,16.5,30.6,0.54,小于10万,中级轿车
宝马X1,BMW,外国,2012款,X1 sDrive18i,2L,自动,时尚型,2012/4/1,5.6,16.5,30.6,0.54,小于10万,中级轿车
本田雅阁,Honda,外国,2010款,第八代雅阁,2L,自动,EX标准版,2010/11/1,5.6,12,22,0.55,小于10万,中级轿车
现代ix35,Hyundai,外国,2010款,,2L,自动,GLS 四驱尊贵型,2010/8/1,5.7,10.5,23.4,0.45,小于10万,中级轿车
现代ix35,Hyundai,外国,2010款,,2L,自动,GLS四驱尊贵型,2010/8/1,5.7,10.5,23.4,0.45,小于10万,中级轿车
标致308,Peugeot,外国,2012款,,2L,自动,风尚型,2013/3/1,5.7,6.9,14.3,0.48,小于10万,中级轿车
标致308,Peugeot,外国,2012款,,2L,自动,风尚型,2013/3/1,5.7,6.9,14.3,0.48,小于10万,中级轿车
本田雅阁,Honda,外国,2014款,第九代雅阁,2L,无级,EX豪华版,2014/11/1,5.7,15.6,22.4,0.7,小于10万,中级轿车
宝马3系,BMW,外国,2012款,320i,2L,自动,时尚型,2012/3/1,5.8,16.8,38.1,0.44,小于10万,中级轿车
宝马3系,BMW,外国,2012款,320i,2L,自动,时尚型,2012/3/1,5.8,16.8,38.1,0.44,小于10万,中级轿车
马自达6,Mazda,外国,2013款,6,2L,自动,时尚版,2014/1/1,5.8,9.8,16,0.61,小于10万,中级轿车
马自达6,Mazda,外国,2013款,6,2L,自动,时尚版,2014/1/1,5.8,9.8,16,0.61,小于10万,中级轿车
华泰圣达菲,华泰,中国,2012款,,2L,手动,两驱豪华型,2012/8/1,5.9,4.6,11.9,0.39,小于10万,中级轿车
华泰圣达菲,华泰,中国,2012款,,2L,手动,两驱豪华型,2012/8/1,5.9,4.6,11.9,0.39,小于10万,中级轿车
